timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-02-08,2979.7500,3027.6001,2959.0000,2974.2000,2974.2000,1377502,0.0000,1.0000
2018-02-07,3027.0000,3031.0000,2947.4500,2955.0500,2955.0500,1090162,0.0000,1.0000
2018-02-06,3010.0000,3077.1499,2985.0000,2997.2500,2997.2500,1328653,0.0000,1.0000
2018-02-05,3110.0000,3188.0000,3076.8501,3103.2000,3103.2000,1378871,0.0000,1.0000
2018-02-02,3120.0000,3190.0000,3103.4500,3153.6499,3153.6499,1228245,0.0000,1.0000
2018-02-01,3124.0000,3190.0000,3088.8000,3138.6001,3138.6001,1200315,0.0000,1.0000
2018-01-31,3137.0000,3150.0000,3098.6001,3112.3501,3112.3501,1521607,0.0000,1.0000
2018-01-30,3180.0000,3203.8000,3143.7000,3152.8501,3152.8501,787379,0.0000,1.0000
2018-01-29,3131.3999,3225.0000,3122.0000,3198.8501,3198.8501,1570530,0.0000,1.0000
2018-01-25,3175.0000,3179.8000,3081.0000,3121.0500,3121.0500,1916922,0.0000,1.0000
2018-01-24,3090.0000,3259.0500,3082.6499,3174.6001,3174.6001,2810769,0.0000,1.0000
2018-01-23,3114.9500,3142.3501,3090.0500,3102.0000,3102.0000,1619805,0.0000,1.0000
2018-01-22,2961.0000,3134.7000,2922.0000,3116.3999,3116.3999,2183555,0.0000,1.0000
2018-01-19,2930.5500,2982.0000,2903.6499,2959.3000,2952.3000,910000,0.0000,1.0000
2018-01-18,2897.0000,2933.0000,2868.0500,2918.2000,2911.2971,1104739,0.0000,1.0000
2018-01-17,2870.0000,2925.0000,2862.1499,2888.9500,2882.1165,2140403,0.0000,1.0000
2018-01-16,2756.0000,2861.6499,2750.5500,2850.8501,2844.1067,2133876,0.0000,1.0000
2018-01-15,2777.1499,2808.0000,2735.0500,2746.1001,2739.6045,728607,0.0000,1.0000
2018-01-12,2805.0000,2805.0000,2740.5500,2776.3501,2769.7830,1680157,0.0000,1.0000
2018-01-11,2810.0000,2821.8999,2782.2000,2790.5000,2783.8994,1260372,0.0000,1.0000
2018-01-10,2711.0000,2816.0000,2694.6499,2806.6001,2799.9614,1682925,0.0000,1.0000
2018-01-09,2715.0000,2721.0000,2676.5500,2709.0000,2702.5920,1074698,0.0000,1.0000
2018-01-08,2700.0000,2726.8501,2681.8501,2714.3999,2707.9792,621110,0.0000,1.0000
2018-01-05,2650.0000,2699.5000,2650.0000,2689.2000,2682.8389,576853,0.0000,1.0000
2018-01-04,2650.0000,2662.0000,2640.0000,2657.1001,2650.8149,456541,0.0000,1.0000
2018-01-03,2632.0000,2669.0000,2631.2000,2638.6499,2632.4084,628560,0.0000,1.0000
2018-01-02,2660.0000,2669.6001,2620.2000,2631.2000,2624.9761,960145,0.0000,1.0000
2018-01-01,2682.3000,2694.8000,2635.0000,2645.6001,2639.3423,675880,0.0000,1.0000
2017-12-29,2623.1001,2708.8999,2618.5500,2701.2000,2694.8105,1304771,0.0000,1.0000
2017-12-28,2608.8000,2653.5000,2605.6499,2626.9500,2620.7361,1302544,0.0000,1.0000
2017-12-27,2649.4500,2658.5000,2610.5000,2619.8999,2613.7029,369642,0.0000,1.0000
2017-12-26,2686.0000,2689.7500,2631.6001,2649.4500,2643.1829,1087893,0.0000,1.0000
2017-12-22,2604.0000,2663.8999,2590.2000,2646.7500,2640.4893,1832832,0.0000,1.0000
2017-12-21,2587.0000,2608.0000,2580.0500,2595.7000,2589.5601,646824,0.0000,1.0000
2017-12-20,2582.0000,2592.7500,2550.6499,2588.9500,2582.8259,788785,0.0000,1.0000
2017-12-19,2576.0000,2597.8000,2564.7000,2575.3000,2569.2085,900976,0.0000,1.0000
2017-12-18,2537.0000,2588.9500,2494.3501,2580.5000,2574.3960,1090332,0.0000,1.0000
2017-12-15,2563.7500,2584.4500,2536.8501,2545.6001,2539.5786,1359069,0.0000,1.0000
2017-12-14,2632.0000,2632.0000,2531.1001,2557.8000,2551.7498,2752075,0.0000,1.0000
2017-12-13,2611.3999,2651.4500,2601.0000,2628.3999,2622.1826,1480729,0.0000,1.0000
2017-12-12,2661.0000,2662.0000,2607.3999,2612.1499,2605.9712,941123,0.0000,1.0000
2017-12-11,2608.3501,2672.6499,2608.3501,2661.1001,2654.8054,504001,0.0000,1.0000
2017-12-08,2618.0000,2645.0000,2597.0000,2601.5000,2595.3464,692774,0.0000,1.0000
2017-12-07,2632.3000,2645.9500,2615.0000,2617.2500,2611.0591,663150,0.0000,1.0000
2017-12-06,2636.0000,2645.0000,2612.8501,2633.3000,2627.0713,703759,0.0000,1.0000
2017-12-05,2631.0000,2651.7000,2628.1499,2635.5500,2629.3159,583957,0.0000,1.0000
2017-12-04,2622.0000,2658.5000,2602.9500,2632.3501,2626.1235,629552,0.0000,1.0000
2017-12-01,2635.0000,2668.0000,2621.5000,2629.9500,2623.7290,515572,0.0000,1.0000
2017-11-30,2653.6499,2666.9500,2623.0000,2637.0000,2630.7625,2149981,0.0000,1.0000
2017-11-29,2677.5000,2693.0000,2650.0000,2658.1499,2651.8623,723766,0.0000,1.0000
2017-11-28,2686.0000,2702.3999,2670.0000,2685.3000,2678.9482,455858,0.0000,1.0000
2017-11-27,2688.0000,2695.8999,2662.2000,2685.8501,2679.4971,928393,0.0000,1.0000
2017-11-24,2682.0000,2702.8999,2673.1001,2688.0500,2681.6917,1143756,0.0000,1.0000
2017-11-23,2681.0000,2693.0000,2669.0000,2681.2500,2674.9077,396735,0.0000,1.0000
2017-11-22,2673.0000,2709.7000,2672.3999,2680.6499,2674.3091,911312,0.0000,1.0000
2017-11-21,2701.0000,2701.0000,2666.0000,2672.9500,2666.6274,763870,0.0000,1.0000
2017-11-20,2715.0000,2726.8999,2695.3000,2703.4500,2697.0552,507249,0.0000,1.0000
2017-11-17,2748.1001,2748.1001,2703.6001,2707.3000,2700.8962,662732,0.0000,1.0000
2017-11-16,2710.0000,2763.0000,2686.9500,2746.6499,2740.1528,826741,0.0000,1.0000
2017-11-15,2706.0000,2755.0000,2701.3501,2705.3000,2698.9009,3335417,0.0000,1.0000
2017-11-14,2756.5500,2756.5500,2707.5000,2714.6001,2708.1790,828626,0.0000,1.0000
2017-11-13,2702.0500,2777.3999,2702.0500,2758.9500,2752.4238,748498,0.0000,1.0000
2017-11-10,2722.2000,2726.0000,2693.3501,2708.7500,2702.3428,678283,0.0000,1.0000
2017-11-09,2750.0000,2750.0000,2719.3000,2736.3999,2729.9272,576216,0.0000,1.0000
2017-11-08,2723.0000,2759.0000,2718.2500,2735.0000,2728.5305,701126,0.0000,1.0000
2017-11-07,2670.0000,2768.0000,2666.0500,2710.0500,2703.6396,1348446,0.0000,1.0000
2017-11-06,2620.0000,2671.8000,2611.7500,2665.5500,2659.2449,688500,0.0000,1.0000
2017-11-03,2632.3999,2636.7000,2602.8000,2620.1001,2613.9026,333443,0.0000,1.0000
2017-11-02,2608.5000,2674.0000,2606.7500,2626.1499,2619.9380,734211,0.0000,1.0000
2017-11-01,2624.0000,2626.8501,2578.8501,2602.8501,2596.6934,370941,0.0000,1.0000
2017-10-31,2601.3000,2640.0000,2601.3000,2624.0000,2617.7932,796317,0.0000,1.0000
2017-10-30,2586.0000,2620.0000,2581.7000,2616.2000,2610.0115,568626,0.0000,1.0000
2017-10-27,2538.0000,2593.1499,2530.3000,2584.3000,2578.1870,704635,0.0000,1.0000
2017-10-26,2535.1001,2569.1499,2517.8999,2538.8501,2532.8447,1503776,0.0000,1.0000
2017-10-25,2578.5000,2614.0000,2555.0000,2559.8999,2553.8447,552553,0.0000,1.0000
2017-10-24,2620.0000,2620.8999,2569.0500,2578.3999,2565.3174,669510,0.0000,1.0000
2017-10-23,2584.0000,2629.0000,2547.4500,2587.8999,2574.7693,943044,0.0000,1.0000
2017-10-19,2592.0000,2595.8000,2571.0000,2583.8999,2570.7896,43411,0.0000,1.0000
2017-10-18,2595.0000,2613.6499,2580.0000,2586.6001,2573.4761,757072,0.0000,1.0000
2017-10-17,2585.0000,2614.9500,2577.5500,2594.5500,2581.3855,721508,0.0000,1.0000
2017-10-16,2555.0500,2590.0000,2555.0500,2584.3999,2571.2869,609295,0.0000,1.0000
2017-10-13,2548.2000,2608.9500,2523.0000,2558.6001,2545.6182,2033160,0.0000,1.0000
2017-10-12,2513.0000,2555.0000,2507.0000,2548.2000,2535.2708,2503178,0.0000,1.0000
2017-10-11,2460.0000,2514.4500,2456.7500,2500.3501,2487.6638,763873,0.0000,1.0000
2017-10-10,2455.0000,2469.9500,2451.2500,2459.2500,2446.7722,611005,0.0000,1.0000
2017-10-09,2441.0500,2467.9500,2441.0500,2454.1001,2441.6482,886808,0.0000,1.0000
2017-10-06,2430.0000,2455.0000,2428.0500,2446.6499,2434.2358,694594,0.0000,1.0000
2017-10-05,2441.0000,2443.4500,2424.3999,2429.6001,2417.2727,842343,0.0000,1.0000
2017-10-04,2449.6001,2454.0000,2425.0000,2442.3000,2429.9080,650389,0.0000,1.0000
2017-10-03,2440.0000,2454.3000,2427.0500,2448.4500,2436.0269,961503,0.0000,1.0000
2017-09-29,2479.0000,2484.0000,2421.5000,2435.9500,2423.5903,992507,0.0000,1.0000
2017-09-28,2494.7000,2514.0000,2452.0000,2476.4500,2463.8850,2166433,0.0000,1.0000
